Event ID,Activity,Time,Location
A1128,Yoga Stretch,8am morning,Bishan Park
A1129,Zumba Gold,9am,Tampines Mall
A1130,Pilates Core,6pm,Orchard Central
A1131,Tai Chi Basics,7am,West Coast Park
A1132,Aqua Aerobics,10am,Yishun Safra
A1133,Barre Fusion,11am,Clementi SMC
A1134,HIIT Bootcamp,6am,East Coast Park
A1135,Dance Cardio,8am,Pasir Ris CC
A1136,Aerobics Basics,7pm,Punggol Waterway Point
A1137,Power Yoga,7am,Marina Bay Sands Open Deck
A1138,Parkour Play,6am,Bukit Batok Nature Park
A1139,Functional Training,6pm,Bedok Reservoir
A1140,Resistance Band Sculpt,8am,Serangoon Gardens
A1141,Spin Class,7pm,Orchard Gateway
A1142,Circuit Training,6am,Changi Business Park
A1143,Gentle Stretching,9am,Toa Payoh Central
A1144,Body Pump,7pm,Bugis Junction
A1145,Yin Yoga,10am,Harbourfront Tower
A1146,Kickboxing Fitness,6pm,Jurong East MRT Plaza
A1147,Capoeira Intro,8am,Bishan Community Club
A1148,Booty Burn,7am,Sengkang Riverside Park
A1149,Core & Balance,9am,Choa Chu Kang Park
A1150,Chair Aerobics,10am,Bukit Timah Shopping Centre
A1151,Pilates Sculpt,7am,Lavender MRT Exit A
A1152,Obstacle Training,6pm,Clementi Woods Park
A1153,Body Attack,5pm,Novena Square
A1154,Line Dancing,11am,Chinatown Point
A1155,Cardio Barre,8am,Mount Faber Park
A1156,Les Mills Sh’Bam,6pm,Marina Square
A1157,Pranayama Basics,9am,Gardens by the Bay
A1158,CrossFit Lite,6am, Downtown East D’Resort
A1159,Functional Stretching,7pm,Bukit Panjang Plaza
A1160,Body Toning,8am,Woodlands Central
A1161,Mat Pilates,10am,Holland Village
A1162,Chair Yoga,11am,Compass One
A1163,Muay Thai Fitness,6pm,JCube Atrium
A1164,Cardio Dance Party,8am,Sentosa Beach Station
A1165,Groove Dance,9am,VivoCity Sky Park
A1166,Meditation Walk,7am,Labrador Park
A1167,Core Control,8am,Redhill MRT Plaza
A1168,Strength Endurance,6pm,Kallang Wave Mall
A1169,Total Body Workout,9am,Ang Mo Kio Park
A1170,Salsa Basics,8pm,Esplanade Outdoor Theatre
A1171,Power Pilates,10am,Paya Lebar Quarter
A1172,Strength Flow,6am,Botanic Gardens
A1173,Brazilian Dance,5pm,Eunos Community Centre
A1174,Functional Movement,7am,Kent Ridge Park
A1175,Zen Yoga,8am,Suntec City Convention Centre
A1176,Stretch & Align,7pm,Eastpoint Mall
A1177,Aqua Zumba,9am,Jurong Lake Gardens
A1178,Dance Fitness Jam,8am,AMK Hub
A1179,Step & Tone,6pm,Bukit Gombak Stadium
A1180,Vinyasa Flow,7am,Henderson Waves
A1181,Hula Fitness,9am,National Stadium Park
A1182,Light Cardio,10am,Pioneer Mall
A1183,Resistance Flow,8am,Serangoon MRT Exit C
A1184,Core & Cardio,6pm,Punggol Settlement
A1185,Group Functional Training,7pm,Yew Tee Point
A1186,Kettlebell Fusion,6am,MacRitchie Reservoir
A1187,Dynamic Stretch,8am,Singapore Flyer Lawn
A1188,Pop Dance Class,5pm,Dhoby Ghaut Green
A1189,Ballet Fit,7am,Jurong Point
A1190,Rhythm Aerobics,8am,Clementi MRT Plaza
A1191,Beginner Yoga,9am,Boon Lay Park
A1192,Combat Training,6pm,Sports Hub
A1193,Slow Flow Yoga,8am,Yio Chu Kang Sports Centre
A1194,Strong Nation,7pm,Tanjong Pagar Centre
A1195,Dancehall Groove,10am,One Raffles Place
A1196,High Energy Aerobics,8am,Hillion Mall
A1197,Core Strength Fusion,6am,Seletar Mall
A1198,Street Dance,5pm,Great World City
A1199,Gentle Pilates,7am,Kallang ActiveSG Gym
A1200,Cardio Blitz,9am,Tampines ActiveSG Gym
A1201,Morning Jog,6am,East Coast Park
A1202,Speed Circuit,6pm,Stadium Walk
A1203,Strength Powerhouse,8am,Causeway Point
A1204,Energy Kickboxing,7pm,Sembawang MRT Exit A
A1205,Jazzercise,5pm,Buona Vista Park
A1206,Athletic Yoga,6am,Farrer Park Field
A3324,Jogging,8am,Everton Park
A1207,Guided Stretch,9am,Upper Thomson Park
A1208,Zumba Lite,7am,Bishan Junction 8
A1209,Cycling Group Ride,6am,Changi Coastal Road
A1210,Urban Fitness Challenge,7pm,Millenia Walk
A1211,Outdoor Barre,8am,Chinatown Street Plaza
A1212,Active Seniors Fitness,10am,Punggol Plaza
A1213,Spin & Sweat,6pm,Suntec Sky Garden
A1136,Full Body Cardio,7am,Singapore General Hospital
A1214,Beach Yoga,9am,Sentosa Palawan Beach
A1215,Bollywood Dance,8am,Marine Parade CC
A1216,Tabata Circuit,7pm,Tampines Hub
A1217,Energy Barre,6am,River Valley
A1218,Groove Fit,9am,Changi Jewel
A1219,Aqua Strength,10am,Simei Eastpoint
A1220,K-Pop Dance Fitness,5pm,Star Vista
A1221,Dynamic Pilates,8am,Anchorpoint Mall
A1222,Rope Burn Workout,6am,Bukit Merah CC
A1223,Zen Stretch,7am,MacPherson Park
A1224,Core Mobility,9am,Nex Shopping Mall
A1225,Rhythm Boxing,6pm,Hougang Mall
A1226,Mindful Walking,8am,Punggol Waterway Park
A1227,Cardio Sculpt,7pm,Bedok Central
